,osmid,x,y
393,393,-79.2290936,43.855621
394,394,-79.2197353,43.8572816
395,395,-79.2258363,43.842516
396,396,-79.232212,43.8410116
397,397,-79.2446484,43.8579986
398,398,-79.2945188,43.8458407
399,399,-79.3061964,43.8432143
400,400,-79.3108193,43.842194
401,401,-79.3204064,43.8398302
402,402,-79.3075337,43.8429118
403,403,-79.3153031,43.8410291
404,404,-79.3249608,43.8387747
405,405,-79.3976816,43.812992
406,406,-79.3213749,43.842133
407,407,-79.3187833,43.8328034
408,408,-79.3057665,43.8268003
409,409,-79.3528078,43.8250733
410,410,-79.3590427,43.8247913
411,411,-79.3812755,43.8203506
412,412,-79.355677,43.8181586
413,413,-79.3585221,43.8203292
414,414,-79.3990173,43.8097253
415,415,-79.3742754,43.8130791
416,416,-79.3733602,43.8204737
417,417,-79.4273832,43.8286942
418,418,-79.3972718,43.8030362
419,419,-79.3374166,43.8353565
420,420,-79.3384714,43.8332493
421,421,-79.3376731,43.8337632
422,422,-79.3840826,43.8059354
423,423,-79.3853083,43.8056713
424,424,-79.3892915,43.8238187
425,425,-79.3783524,43.8289579
426,426,-79.3879674,43.8203576
427,427,-79.3910693,43.8276886
428,428,-79.3840924,43.8236996
429,429,-79.3911314,43.8228746
430,430,-79.3883515,43.821579
431,431,-79.3815082,43.8229679
432,432,-79.38126,43.8222988
433,433,-79.3826704,43.8222254
434,434,-79.3829823,43.8232242
435,435,-79.3833944,43.8218439
436,436,-79.4192803,43.8068747
437,437,-79.422175,43.8062576
438,438,-79.4195679,43.8076283
439,439,-79.4232325,43.8140078
440,440,-79.4032252,43.8107639
441,441,-79.4030514,43.8068933
442,442,-79.3981225,43.8062549
443,443,-79.3974414,43.804236
444,444,-79.3972009,43.8042604
445,445,-79.3985049,43.821862
446,446,-79.3659198,43.8100174
447,447,-79.3753306,43.8149495
448,448,-79.3779403,43.8191372
449,449,-79.3775514,43.8179915
450,450,-79.3766673,43.8434544
451,451,-79.3744673,43.8137331
452,452,-79.3767893,43.8132911
453,453,-79.3868502,43.8207844
454,454,-79.3872777,43.8217791
455,455,-79.3847541,43.8225819
456,456,-79.3857324,43.8211849
457,457,-79.3857586,43.8218253
458,458,-79.3779021,43.9026669
459,459,-79.3362758,43.8502109
460,460,-79.3380541,43.852318
461,461,-79.3473598,43.8465626
462,462,-79.3519356,43.8510681
463,463,-79.3373563,43.8436291
464,464,-79.3230009,43.8468876
465,465,-79.3228726,43.8465439
466,466,-79.4145777,43.8245062
467,467,-79.4060784,43.824752
468,468,-79.4033859,43.8250129
469,469,-79.4207562,43.8006007
470,470,-79.2459594,43.8962379
471,471,-79.4020342,43.822146
472,472,-79.4020463,43.8227777
473,473,-79.4021296,43.8225135
474,474,-79.4239506,43.8139283
475,475,-79.42534,43.8199911
476,476,-79.3736598,43.8214912
477,477,-79.3618125,43.8129123
478,478,-79.3622907,43.8119225
479,479,-79.361544,43.8123016
480,480,-79.2608866,43.8782574
481,481,-79.2587193,43.8741772
482,482,-79.2600694,43.8780596
483,483,-79.2595029,43.8778964
484,484,-79.259474,43.8785802
485,485,-79.2602754,43.8777008
486,486,-79.2580906,43.8743255
487,487,-79.2570554,43.8745811
488,488,-79.2562249,43.8825244
489,489,-79.2552745,43.879571
490,490,-79.2601652,43.8815828
491,491,-79.2605143,43.8832985
492,492,-79.2559143,43.883903
493,493,-79.2569025,43.8823528
494,494,-79.2598575,43.8801379
495,495,-79.2587767,43.8787421
496,496,-79.2578686,43.8782728
497,497,-79.2603461,43.8758652
498,498,-79.2591425,43.8761337
499,499,-79.2585377,43.8762768
500,500,-79.2722815,43.870189
501,501,-79.2609607,43.8786444
502,502,-79.2645195,43.8720539
503,503,-79.2589289,43.8818398
504,504,-79.2515137,43.8804782
505,505,-79.2366009,43.8858753
506,506,-79.2231844,43.8946679
507,507,-79.2102933,43.8834961
508,508,-79.2565918,43.8601938
509,509,-79.2525108,43.8650193
510,510,-79.2576399,43.8635074
511,511,-79.2573216,43.8638705
512,512,-79.2527758,43.8653197
513,513,-79.2576926,43.8651143
514,514,-79.2578745,43.8654833
515,515,-79.2632167,43.8611872
516,516,-79.2567908,43.8615485
517,517,-79.3615337,43.8563722
518,518,-79.3444707,43.860284
519,519,-79.3363236,43.8597581
520,520,-79.3678917,43.8538837
521,521,-79.3548081,43.8506942
522,522,-79.3528421,43.8584251
523,523,-79.3244695,43.8578901
524,524,-79.3400508,43.8556071
525,525,-79.3393944,43.8542022
526,526,-79.3392504,43.8539625
527,527,-79.3390417,43.854017
528,528,-79.3391955,43.8542371
529,529,-79.3399009,43.8555562
530,530,-79.3118726,43.8702188
531,531,-79.3120438,43.8692925
532,532,-79.3095713,43.8613598
533,533,-79.3082093,43.8560008
534,534,-79.3061397,43.8564119
535,535,-79.3051666,43.8560318
536,536,-79.2828398,43.8604813
537,537,-79.2913449,43.8691804
538,538,-79.2916673,43.8690571
539,539,-79.2922022,43.8684177
540,540,-79.2916441,43.8668205
541,541,-79.2906047,43.8664192
542,542,-79.2866089,43.8715304
543,543,-79.2865518,43.870496
544,544,-79.2861398,43.8702176
545,545,-79.2856624,43.8680095
546,546,-79.2877624,43.8714183
547,547,-79.2886718,43.866906
548,548,-79.2867961,43.8673175
549,549,-79.2919822,43.8676527
550,550,-79.2912409,43.8691975
551,551,-79.2884314,43.8700538
552,552,-79.2858577,43.8697847
553,553,-79.2775891,43.8689342
554,554,-79.2971691,43.8655658
555,555,-79.3038574,43.8652081
556,556,-79.3041273,43.8643251
557,557,-79.3029025,43.8636115
558,558,-79.3038869,43.8653149
559,559,-79.3049826,43.865302
560,560,-79.2954746,43.8651318
561,561,-79.2944335,43.8651403
562,562,-79.2941491,43.865133
563,563,-79.2969904,43.8657129
564,564,-79.2937019,43.8840906
565,565,-79.3172997,43.8910995
566,566,-79.2627843,43.8864911
567,567,-79.3316423,43.8476808
568,568,-79.3309464,43.846581
569,569,-79.3301309,43.8419887
570,570,-79.33068,43.8457721
571,571,-79.3306511,43.845317
572,572,-79.3305969,43.8444656
573,573,-79.3307288,43.8449136
574,574,-79.3141916,43.8519285
575,575,-79.2963959,43.8643324
576,576,-79.2982987,43.8638886
577,577,-79.2837792,43.8673512
578,578,-79.2863819,43.8667776
579,579,-79.2983228,43.863999
580,580,-79.3112322,43.8661447
581,581,-79.2670387,43.8680663
582,582,-79.2339767,43.87571
583,583,-79.2317142,43.8658955
584,584,-79.2400129,43.8687723
585,585,-79.2266167,43.872086
586,586,-79.2882767,43.8549006
587,587,-79.2820622,43.8577553
588,588,-79.2751607,43.8576265
589,589,-79.2874313,43.8547787
590,590,-79.2807911,43.8548046
591,591,-79.273732,43.8575312
592,592,-79.2819056,43.8563476
593,593,-79.2812974,43.8557725
594,594,-79.2811158,43.8561759
595,595,-79.2292909,43.8564581
596,596,-79.2554262,43.8978925
597,597,-79.25422,43.8982879
598,598,-79.2538469,43.89862
599,599,-79.2529222,43.8989219
600,600,-79.2530401,43.8982784
601,601,-79.2559868,43.8981239
602,602,-79.2694072,43.8901325
603,603,-79.3932001,43.8304277
604,604,-79.3941165,43.8312453
605,605,-79.2687114,43.8902981
606,606,-79.3956434,43.8283249
607,607,-79.2757021,43.8826628
608,608,-79.395378,43.8316261
609,609,-79.3964333,43.8314142
610,610,-79.3987751,43.8328694
611,611,-79.3985087,43.829814
612,612,-79.3977172,43.8300461
613,613,-79.4264901,43.8250536
614,614,-79.4240921,43.8255766
615,615,-79.4225665,43.826088
616,616,-79.4216463,43.8263018
617,617,-79.42461,43.8254554
618,618,-79.4219081,43.8271225
619,619,-79.423715,43.8266568
620,620,-79.4189599,43.8263819
621,621,-79.4177908,43.8256228
622,622,-79.422266,43.8245103
623,623,-79.4179885,43.8237808
624,624,-79.4220984,43.8229605
625,625,-79.4170194,43.8240638
626,626,-79.4213209,43.8230647
627,627,-79.4172143,43.8222572
628,628,-79.3111585,43.8972535
629,629,-79.3114181,43.897813
630,630,-79.3107187,43.8967324
631,631,-79.3549602,43.8856944
632,632,-79.3577297,43.8303837
633,633,-79.3630999,43.828974
634,634,-79.3626536,43.8316076
635,635,-79.3557356,43.8332463
636,636,-79.3561785,43.8351823
637,637,-79.3587318,43.8325128
638,638,-79.3626749,43.8308473
639,639,-79.3630027,43.8335352
640,640,-79.3690784,43.8269652
641,641,-79.368022,43.8271969
642,642,-79.3670494,43.8275037
